n,algorithm,ns_per_elem,gadds,speedup,abs_err
32768,superscalar_2way,0.290783,3.438985,2.000091,0.0
32768,recursive,1.905321,0.524846,0.305247,0.0
262144,superscalar_2way,0.294598,3.394451,2.010929,0.0
262144,recursive,1.91601,0.521918,0.309193,0.0
2097152,superscalar_2way,0.302395,3.306933,1.972983,0.0
2097152,recursive,1.90599,0.524662,0.313024,0.0
16777216,superscalar_2way,0.324938,3.077509,1.820426,7e-09
16777216,recursive,1.905232,0.52487,0.310474,4e-09
